gene,PM,MM,BN,SN,PMN
ENSG00000147010,31.33564,46.52482,59.3357,79.989,89.53138
ENSG00000147065,108.2183,233.3171,292.0528,360.34,442.0255
ENSG00000147123,19.745931,11.174496,9.947025,7.040554,5.460877
ENSG00000147140,99.81707,66.4111,50.46189,42.96522,42.2072
ENSG00000147155,28.163427,21.320724,10.600083,4.922193,5.057707
ENSG00000147162,69.9191,79.91276,78.15434,76.27017,74.94971
ENSG00000147164,9.553621,10.849419,13.260412,8.678793,5.940173
ENSG00000147202,21.276041,40.440528,29.868861,10.374818,3.734042
ENSG00000147224,15.355087,6.272225,5.081326,3.465988,3.330816
ENSG00000147251,22.47551,45.15524,54.67733,73.72323,104.58239
ENSG00000147274,89.31234,63.09636,43.1706,27.25708,15.21617
ENSG00000147383,2.5838851,1.9510438,1.6930422,0.8761622,0.5811413
ENSG00000147400,9.760098,14.605417,11.986146,5.792353,5.151061
ENSG00000147403,1226.0077,493.67286,339.65275,245.24062,56.64292
ENSG00000147416,22.53571,38.67911,63.18146,192.83383,264.33204
ENSG00000147459,15.46276,18.58715,41.12643,160.36282,336.67491
ENSG00000147471,17.50319,19.46911,23.27042,16.91274,21.49414
ENSG00000147475,17.78438,14.58082,17.5516,14.75948,21.2011
ENSG00000147526,46.60629,44.78798,56.20327,93.88404,124.61241
ENSG00000147533,17.22808,31.77415,41.35514,52.84403,52.64241
ENSG00000147592,6.638125,5.503953,3.965668,2.563427,1.820921
ENSG00000147604,733.89179,446.85685,304.34916,191.58015,52.73969
ENSG00000147649,110.57905,92.21044,79.66064,30.12203,12.40609
ENSG00000147684,62.137387,46.639762,52.746802,24.889044,8.622432
ENSG00000147813,42.89971,82.62122,89.45093,41.80246,33.22599
ENSG00000147853,13.308954,9.141261,6.047328,3.63269,1.196881
ENSG00000148154,122.42095,340.36856,215.67058,36.58466,29.48149
ENSG00000148175,249.25031,746.66605,559.08608,58.38746,13.2479
ENSG00000148218,25.339139,12.7981,11.863123,9.27281,3.927058
ENSG00000148229,39.506587,12.004514,11.027968,8.407957,7.564183
ENSG00000148248,61.98071,35.73011,33.20628,27.92666,27.00171
ENSG00000148303,852.95669,373.87826,288.59868,211.80601,69.02434
ENSG00000148341,24.624895,27.631306,27.471231,13.70805,9.314461
